﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No. 13,4713,255,2%,1,6%,8,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,80,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 14,4714,595,3%,0,0%,3,3%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,265,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 15,4715,3065,6%,2,0%,79,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1340,3%,3,0%,16,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 16,4716,1010,4%,1,4%,16,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,325,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 17,4717,680,2%,0,0%,12,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,200,1%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 18,4718,340,1%,0,0%,7,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,65,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  1,4801,1815,3%,2,0%,52,7%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,510,1%,7,1%,13,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  2,4802,4545,4%,10,3%,92,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1220,1%,6,2%,25,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  3,4803,615,3%,0,0%,13,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,150,1%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  4,4804,95,2%,0,0%,1,4%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,35,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  5,4805,1020,3%,1,0%,29,7%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,330,1%,0,0%,7,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Calgary-Edmonton,Division No.  6,4806,80740,8%,132,8%,2267,18%,151760,8%,362,6%,4796,18%,4948830,21%,77529,44%,140643,40%,23380,2%,63,4%,573,5%,48575,2%,190,3%,1445,5%,1607390,7%,37000,21%,36077,10%
N/A,Division No.  7,4807,970,4%,1,0%,50,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,410,2%,16,6%,23,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No.  8,4808,6495,5%,6,1%,130,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1875,1%,4,1%,36,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
